name,slug,description,parent_slug
Almuñecar,almunecar,,
"Altos de los Monteros",altos-de-los-monteros,,
Artola,artola,,
Atalaya,atalaya,,
"Bahía de Marbella",bahia-de-marbella,,
"Bel Air",bel-air,,
"Benahavís (town)",benahavis-town,,
"Benalmádena (town)",benalmadena-town,,
"Benalmadena Costa",benalmadena-costa,,
"Benalmadena Pueblo",benalmadena-pueblo,,
Cabopino,cabopino,,
Calahonda,calahonda,,
"Calanova Golf",calanova-golf,,
"Campo Mijas",campo-mijas,,
Cancelada,cancelada,,
"Carib Playa",carib-playa,,
"Casares (town)",casares-town,,
"Casares Pueblo",casares-pueblo,,
"Cerros del Aguila",cerros-del-aguila,,
Colmenar,colmenar,,
"El Chaparral",el-chaparral,,
"El Coto",el-coto,,
"El Faro",el-faro,,
"El Higuerón",el-higueron,,
"El Madroñal",el-madronal,,
"El Paraiso",el-paraiso,,
"El Rosario",el-rosario,,
Elviria,elviria,,
"Estepona (town)",estepona-town,,
"Fuengirola (town)",fuengirola-town,,
"Guadalmina Baja",guadalmina-baja,,
"Hacienda Las Chapas",hacienda-las-chapas,,
Istán,istan,,
"La Cala",la-cala,,
"La Cala Golf",la-cala-golf,,
"La Campana",la-campana,,
"La Capellania",la-capellania,,
"La Colina",la-colina,,
"La Duquesa",la-duquesa,,
"La Herradura",la-herradura,,
"La Mairena",la-mairena,,
"La Quinta",la-quinta,,
"La Zagaleta",la-zagaleta,,
"Las Chapas",las-chapas,,
"Los Alamos",los-alamos,,
"Los Arqueros",los-arqueros,,
"Los Boliches",los-boliches,,
"Los Flamingos",los-flamingos,,
"Los Monteros",los-monteros,,
"Málaga (town)",malaga-town,,
"Málaga Este",malaga-este,,
Manilva,manilva,,
"Marbella (town)",marbella-town,,
Marbesa,marbesa,,
Mijas,mijas,,
"Mijas Costa",mijas-costa,,
"Mijas Golf",mijas-golf,,
"Monte Halcones",monte-halcones,,
Nagüeles,nagueles,,
"New Golden Mile",new-golden-mile,,
"Nueva Andalucía",nueva-andalucia,,
Ojén,ojen,,
"Puerto Banús",puerto-banus,,
"Río Real",rio-real,,
"Riviera del Sol",riviera-del-sol,,
Salobreña,salobrena,,
"San Pedro de Alcántara",san-pedro-de-alcantara,,
"San Roque",san-roque,,
"Santa Clara",santa-clara,,
Selwo,selwo,,
"Sierra Blanca",sierra-blanca,,
Sierrezuela,sierrezuela,,
"Sotogrande (town)",sotogrande-town,,
"Sotogrande Costa",sotogrande-costa,,
"The Golden Mile",the-golden-mile,,
Torreblanca,torreblanca,,
"Torremolinos (town)",torremolinos-town,,
Torremuelle,torremuelle,,
Torrenueva,torrenueva,,
"Valle Romano",valle-romano,,
Valtocado,valtocado,,
